r,m,c,b,f,dm,dc,db,df
1.214072367133406033e+03,6.173505750638345369e-06,3.028420479394957621e-01,6.579563978603963914e-01,8.145191261054725018e-01,1.560534474707803981e-05,-1.355647325893850182e-06,-1.289383751397080069e-06,-1.043871669337275505e-06
1.214078497462553742e+03,6.269916714037251830e-06,3.028420395553117483e-01,6.579563898849187797e-01,8.145191196485724872e-01,1.584905093861348915e-05,-1.379736422942856180e-06,-1.312659648065009881e-06,-1.062727556694482753e-06
1.214084627791701223e+03,6.367833322637039721e-06,3.028420310221457967e-01,6.579563817654661140e-01,8.145191130750367714e-01,1.609656305813624843e-05,-1.404253009215160504e-06,-1.336356064080068224e-06,-1.081924343454424779e-06
1.214090758120848932e+03,6.467279075550853807e-06,3.028420223373559650e-01,6.579563734994385849e-01,8.145191063827581512e-01,1.634794050533007061e-05,-1.429204654121066162e-06,-1.360480598238457843e-06,-1.101468194244035052e-06
1.214096888449996413e+03,6.568277852862443005e-06,3.028420134982516831e-01,6.579563650841880884e-01,8.145190995695900105e-01,1.660324364285123872e-05,-1.454599066045705066e-06,-1.385040992095697907e-06,-1.121365389617574784e-06
1.214103018779144122e+03,6.670853922754781194e-06,3.028420045020926987e-01,6.579563565170171158e-01,8.145190926333449877e-01,1.686253381434639663e-05,-1.480444095277849484e-06,-1.410045133064603180e-06,-1.141622328581520837e-06
1.214109149108291604e+03,6.775031892007284907e-06,3.028419953460954051e-01,6.579563477951835271e-01,8.145190855718004164e-01,1.712587321932491184e-05,-1.506747716115211081e-06,-1.435501036074677398e-06,-1.162245513625572051e-06
1.214115279437439312e+03,6.880836802725081092e-06,3.028419860274204622e-01,6.579563389158900044e-01,8.145190783826882219e-01,1.739332515765835093e-05,-1.533518062645858699e-06,-1.461416880483207657e-06,-1.183241580760560849e-06
1.214121409766586794e+03,6.988294047108302242e-06,3.028419765431832889e-01,6.579563298762933776e-01,8.145190710637035814e-01,1.766495381414404624e-05,-1.560763397738845924e-06,-1.487800978144224851e-06,-1.204617273568605122e-06
1.214127540095734503e+03,7.097429429017907058e-06,3.028419668904465678e-01,6.579563206734971859e-01,8.145190636124981509e-01,1.794082441412281562e-05,-1.588492135924688154e-06,-1.514661797096549360e-06,-1.226379462492968789e-06
1.214133670424881984e+03,7.208269171678533698e-06,3.028419570662183591e-01,6.579563113045503453e-01,8.145190560266796220e-01,1.822100324294800459e-05,-1.616712846619597325e-06,-1.542007964983441993e-06,-1.248535147493541435e-06
1.214139800754029693e+03,7.320839864187783859e-06,3.028419470674597602e-01,6.579563017664545876e-01,8.145190483038168283e-01,1.850555751077814686e-05,-1.645434234585823277e-06,-1.569848248947554466e-06,-1.271091441827337282e-06
1.214145931083177175e+03,7.435168566037759973e-06,3.028419368910705844e-01,6.579562920561498052e-01,8.145190404414286434e-01,1.879455561677147713e-05,-1.674665178973629782e-06,-1.598191595923954029e-06,-1.294055604755192259e-06
1.214152061412324883e+03,7.551282715018409520e-06,3.028419265339019617e-01,6.579562821705263742e-01,8.145190324369941948e-01,1.908806691629545620e-05,-1.704414699480583624e-06,-1.627047097859832362e-06,-1.317435013295094988e-06
1.214158191741472365e+03,7.669210193742931971e-06,3.028419159927465687e-01,6.579562721064164954e-01,8.145190242879447595e-01,1.938616188907989397e-05,-1.734691981336705037e-06,-1.656424017592216339e-06,-1.341237183206459262e-06
1.214164322070620074e+03,7.788979337970960848e-06,3.028419052643383513e-01,6.579562618605924174e-01,8.145190159916635420e-01,1.968891216025368015e-05,-1.765506378806234892e-06,-1.686331792475895696e-06,-1.365469771978986520e-06
1.214170452399767555e+03,7.910618878808931914e-06,3.028418943453592416e-01,6.579562514297743192e-01,8.145190075454911138e-01,1.999639035424646461e-05,-1.796867393874257104e-06,-1.716780012479128569e-06,-1.390140561028144261e-06
1.214176582728915264e+03,8.034158055651448887e-06,3.028418832324249466e-01,6.579562408106153226e-01,8.145189989467138680e-01,2.030867038026422575e-05,-1.828784718839119552e-06,-1.747778464327965901e-06,-1.415257491522986821e-06
1.214182713058062745e+03,8.159626516665652519e-06,3.028418719220972721e-01,6.579562299997144814e-01,8.145189901925740106e-01,2.062582718074713290e-05,-1.861268199394278612e-06,-1.779337093363164781e-06,-1.440828633424947995e-06
1.214188843387210454e+03,8.287054390675511917e-06,3.028418604108748524e-01,6.579562189936065675e-01,8.145189812802619000e-01,2.094793691306709874e-05,-1.894327861890131220e-06,-1.811466031831468144e-06,-1.466862208526984946e-06
1.214194973716357936e+03,8.416472296155625465e-06,3.028418486951918731e-01,6.579562077887615157e-01,8.145189722069151594e-01,2.127507697225929767e-05,-1.927973917152142516e-06,-1.844175602933723879e-06,-1.493366593662495398e-06
1.214201104045505645e+03,8.547911278775376898e-06,3.028418367714260651e-01,6.579561963815917514e-01,8.145189629696248934e-01,2.160732583315516691e-05,-1.962216737217798084e-06,-1.877476296839536505e-06,-1.520350301209493177e-06
1.214207234374653126e+03,8.681402933438398797e-06,3.028418246358824395e-01,6.579561847684368692e-01,8.145189535654229207e-01,2.194476335885311020e-05,-1.997066901830073663e-06,-1.911378818921167025e-06,-1.547822018383091258e-06
1.214213364703800835e+03,8.816979296750215278e-06,3.028418122848074989e-01,6.579561729455766228e-01,8.145189439912923213e-01,2.228747052891402424e-05,-2.032535158144253390e-06,-1.945894048081091423e-06,-1.575790573327092590e-06
1.214219495032948316e+03,8.954672924693379092e-06,3.028417997143787455e-01,6.579561609092209329e-01,8.145189342441601088e-01,2.263552963569489268e-05,-2.068632450463177688e-06,-1.981033067703522226e-06,-1.604264960193395396e-06
1.214225625362096025e+03,9.094516902345729656e-06,3.028417869207031821e-01,6.579561486555087768e-01,8.145189243208950103e-01,2.298902430891115262e-05,-2.105369924423465600e-06,-2.016807170084173763e-06,-1.633254342820894852e-06
1.214231755691243507e+03,9.236544776393105664e-06,3.028417738998262498e-01,6.579561361805162933e-01,8.145189142183153486e-01,2.334803934505271235e-05,-2.142758901598607860e-06,-2.053227830157263564e-06,-1.662768033373994869e-06
1.214237886020391215e+03,9.380790687000021842e-06,3.028417606477141755e-01,6.579561234802394631e-01,8.145189039331739433e-01,2.371266104070242421e-05,-2.180810930237038772e-06,-2.090306758287103803e-06,-1.692815535233838311e-06
1.214244016349538697e+03,9.527289251614836128e-06,3.028417471602690703e-01,6.579561105506092078e-01,8.145188934621713228e-01,2.408297689883731697e-05,-2.219537741282741390e-06,-2.128055854705476120e-06,-1.723406505948429646e-06
1.214250146678686406e+03,9.676075648901968283e-06,3.028417334333178834e-01,6.579560973874803986e-01,8.145188828019457317e-01,2.445907584097655930e-05,-2.258951280839095163e-06,-2.166487243325573125e-06,-1.754550784770714309e-06
1.214256277007833887e+03,9.827185629242977304e-06,3.028417194626105702e-01,6.579560839866294142e-01,8.145188719490721319e-01,2.484104823372197340e-05,-2.299063714727528477e-06,-2.205613276608374625e-06,-1.786258396568918163e-06
1.214262407336981596e+03,9.980655441812799730e-06,3.028417052438299173e-01,6.579560703437646874e-01,8.145188609000699742e-01,2.522898570443356229e-05,-2.339887400759483902e-06,-2.245446506803993573e-06,-1.818539528462758305e-06
1.214268537666129077e+03,1.013652197707338678e-05,3.028416907725721141e-01,6.579560564545063883e-01,8.145188496513877663e-01,2.562298150139650106e-05,-2.381434944145501518e-06,-2.285999743747129464e-06,-1.851404576810565477e-06
1.214274667995276786e+03,1.029482264121841376e-05,3.028416760443636835e-01,6.579560423144042991e-01,8.145188381994158400e-01,2.602313017646423431e-05,-2.423719149447294472e-06,-2.327286004963943598e-06,-1.884864106642110025e-06
1.214280798324424268e+03,1.045559544686689852e-05,3.028416610546488252e-01,6.579560279189238248e-01,8.145188265404769146e-01,2.642952781429514636e-05,-2.466753056048262459e-06,-2.369318552699106562e-06,-1.918928881746563837e-06
1.214286928653571977e+03,1.061887902441010733e-05,3.028416457987876398e-01,6.579560132634457714e-01,8.145188146708246535e-01,2.684227206103044727e-05,-2.510549943099744849e-06,-2.412110899217694240e-06,-1.953609869004816159e-06
1.214293058982719458e+03,1.078471254321324872e-05,3.028416302720672304e-01,6.579559983432757830e-01,8.145188025866518799e-01,2.726146192512210706e-05,-2.555123299281305388e-06,-2.455676775377706581e-06,-1.988918212838223087e-06
1.214299189311867167e+03,1.095313586558766741e-05,3.028416144696798873e-01,6.579559831536233583e-01,8.145187902840734795e-01,2.768719816651052891e-05,-2.600486883235781240e-06,-2.500030193828227478e-06,-2.024865286555310087e-06
1.214305319641014648e+03,1.112418941112145856e-05,3.028415983867419059e-01,6.579559676896206133e-01,8.145187777591410550e-01,2.811958295370488005e-05,-2.646654671170367551e-06,-2.545185394414741593e-06,-2.061462648009133247e-06
1.214311449970162357e+03,1.129791425467888431e-05,3.028415820182799312e-01,6.579559519463079598e-01,8.145187650078322683e-01,2.855872011148421279e-05,-2.693640895544442857e-06,-2.591156884723276083e-06,-2.098722072531860816e-06
1.214317580299309839e+03,1.147435213866104697e-05,3.028415653592286261e-01,6.579559359186324397e-01,8.145187520260489533e-01,2.900471515188432178e-05,-2.741460050466113822e-06,-2.637959445878743469e-06,-2.136655557609398542e-06
1.214323710628457548e+03,1.165354538786014491e-05,3.028415484044429395e-01,6.579559196014598266e-01,8.145187388096263303e-01,2.945767505898309776e-05,-2.790126858698505715e-06,-2.685608098111896130e-06,-2.175275295055163881e-06
1.214329840957605029e+03,1.183553707583479707e-05,3.028415311486745698e-01,6.579559029895498679e-01,8.145187253543146877e-01,2.991770870942506741e-05,-2.839656337607305264e-06,-2.734118169946015050e-06,-2.214593727046063505e-06
1.214335971286752738e+03,1.202037087831163164e-05,3.028415135865920038e-01,6.579558860775779339e-01,8.145187116557950358e-01,3.038492650187978657e-05,-2.890063741975749501e-06,-2.783505238499138998e-06,-2.254623497650094804e-06
1.214342101615900219e+03,1.220809117907899719e-05,3.028414957127659179e-01,6.579558688601196970e-01,8.145186977096673386e-01,3.085944062469431426e-05,-2.941364606222806565e-06,-2.833785173757245105e-06,-2.295377488917340226e-06
1.214348231945047928e+03,1.239874308323526434e-05,3.028414775216667909e-01,6.579558513316480228e-01,8.145186835114486268e-01,3.134136508937566609e-05,-2.993574750292860063e-06,-2.884974144961537113e-06,-2.336868825979592240e-06
1.214354362274195410e+03,1.259237232518419346e-05,3.028414590076780044e-01,6.579558334865465152e-01,8.145186690565833221e-01,3.183081549804116445e-05,-3.046710243653418134e-06,-2.937088583010507436e-06,-2.379110846467412658e-06
1.214360492603343118e+03,1.278902544841218218e-05,3.028414401650700860e-01,6.579558153190838699e-01,8.145186543404224766e-01,3.232790949781359985e-05,-3.100787477245965471e-06,-2.990145256013282133e-06,-2.422117162015157087e-06
1.214366622932490600e+03,1.298874964708088999e-05,3.028414209880229135e-01,6.579557968234360787e-01,8.145186393582416473e-01,3.283276638043413715e-05,-3.155823101100273214e-06,-3.044161204033842662e-06,-2.465901605206898144e-06
1.214372753261638309e+03,1.319159288045102519e-05,3.028414014706095059e-01,6.579557779936691109e-01,8.145186241052276843e-01,3.334550737147260802e-05,-3.211834070371694603e-06,-3.099153787593366995e-06,-2.510478268858478779e-06
1.214378883590785790e+03,1.339760388719762684e-05,3.028413816067936359e-01,6.579557588237378019e-01,8.145186085764765105e-01,3.386625566650601618e-05,-3.268837651819239933e-06,-3.155140694596355344e-06,-2.555861511813674454e-06
