r,m,c,b,f,dm,dc,db,df
1.693266677176341375e+02,4.511526633943266341e-06,3.030505690334063806e-01,6.592889927802201289e-01,8.154649405575941090e-01,1.140811193803897197e-05,-9.477339780843827534e-07,-8.922219090349822170e-07,-7.217402908641367090e-07
1.693327938821025498e+02,4.581958725159191812e-06,3.030505631759781160e-01,6.592889872651390704e-01,8.154649360962842319e-01,1.158621111766105470e-05,-9.645816393780458808e-07,-9.083267473452001118e-07,-7.347760515818965877e-07
1.693389200465709337e+02,4.653490383618328070e-06,3.030505572144238102e-01,6.592889816505077549e-01,8.154649315543948118e-01,1.176709074131539414e-05,-9.817284264760101211e-07,-9.247225175010392149e-07,-7.480474615171489576e-07
1.693450462110393460e+02,4.726138757694318238e-06,3.030505511468968849e-01,6.592889759345299527e-01,8.154649269304707904e-01,1.195079417142877838e-05,-9.991796362989127729e-07,-9.414144733919143993e-07,-7.615587793938512781e-07
1.693511723755077298e+02,4.799921299041352000e-06,3.030505449715137356e-01,6.592889701153725746e-01,8.154649222230276884e-01,1.213736553731329278e-05,-1.016940671984137510e-06,-9.584079765819481967e-07,-7.753143513323596145e-07
1.693572985399761421e+02,4.874855703214958798e-06,3.030505386863610040e-01,6.592889641911728882e-01,8.154649174305563797e-01,1.232684958501772084e-05,-1.035017022275218114e-06,-9.757084755678245969e-07,-7.893185939036306379e-07
1.693634247044445260e+02,4.950959952561989528e-06,3.030505322894898601e-01,6.592889581600333004e-01,8.154649125515198715e-01,1.251929178578028579e-05,-1.053414276744221842e-06,-9.933215211627843952e-07,-8.035760067807129315e-07
1.693695508689129383e+02,5.028252321585311564e-06,3.030505257789156137e-01,6.592889520200208020e-01,8.154649075843521944e-01,1.271473834959348516e-05,-1.072138127936280149e-06,-1.011252768775408835e-06,-8.180911743881307317e-07
1.693756770333813506e+02,5.106751339677798886e-06,3.030505191526220998e-01,6.592889457691704092e-01,8.154649025274618435e-01,1.291323613097192443e-05,-1.091194358368086954e-06,-1.029507965237276416e-06,-8.328687553516867591e-07
1.693818031978497345e+02,5.186475863936832442e-06,3.030505124085529078e-01,6.592889394054775032e-01,8.154648973792250066e-01,1.311483281307264293e-05,-1.110588866496116154e-06,-1.048092975235505231e-06,-8.479135039477133235e-07
1.693879293623181468e+02,5.267445015003112936e-06,3.030505055446187090e-01,6.592889329269044918e-01,8.154648921379908932e-01,1.331957674545503303e-05,-1.130327644213086081e-06,-1.067013758490056256e-06,-8.632302515367821348e-07
1.693940555267865307e+02,5.349678223404679404e-06,3.030504985586917610e-01,6.592889263313762571e-01,8.154648868020787367e-01,1.352751706126718937e-05,-1.150416793465806990e-06,-1.086276386700710735e-06,-8.788239202440657769e-07
1.694001816912549430e+02,5.433195235353616456e-06,3.030504914486051860e-01,6.592889196167778243e-01,8.154648813697752407e-01,1.373870369190300934e-05,-1.170862528582990016e-06,-1.105887045984356244e-06,-8.946995250816750017e-07
1.694063078557233268e+02,5.518016072478916035e-06,3.030504842121578557e-01,6.592889127809608008e-01,8.154648758393397978e-01,1.395318726518153817e-05,-1.191671162103490442e-06,-1.125852022433670826e-06,-9.108621622208934864e-07
1.694124340201917391e+02,5.604161110504879302e-06,3.030504768471043442e-01,6.592889058217322740e-01,8.154648702089959400e-01,1.417101930429430506e-05,-1.212849133108775431e-06,-1.146177731082768604e-06,-9.273170324037405323e-07
1.694185601846601230e+02,5.691651009922871747e-06,3.030504693511634207e-01,6.592888987368640263e-01,8.154648644769385557e-01,1.439225205250007254e-05,-1.234402982668366812e-06,-1.166870690928276517e-06,-9.440694207166038722e-07
1.694246863491285353e+02,5.780506766067527319e-06,3.030504617220121655e-01,6.592888915240856518e-01,8.154648586413286715e-01,1.461693859974804584e-05,-1.256339371960519196e-06,-1.187937543474229411e-06,-9.611247116187446069e-07
1.694308125135969192e+02,5.870749715380256379e-06,3.030504539572848044e-01,6.592888841810846667e-01,8.154648527002924530e-01,1.484513289851526632e-05,-1.278665084829233088e-06,-1.209385055355313712e-06,-9.784883911489945337e-07
1.694369386780653315e+02,5.962401491899237582e-06,3.030504460545779821e-01,6.592888767055107291e-01,8.154648466519259786e-01,1.507688965378616777e-05,-1.301387012311230658e-06,-1.231220102607691753e-06,-9.961660340495784453e-07
1.694430648425337154e+02,6.055484112274075137e-06,3.030504380114399932e-01,6.592888690949656461e-01,8.154648404942861362e-01,1.531226453802118326e-05,-1.324512183554850438e-06,-1.253449702325876890e-06,-1.014163329608158462e-06
1.694491910070021277e+02,6.150019900854260008e-06,3.030504298253804962e-01,6.592888613470121451e-01,8.154648342253983939e-01,1.555131400173395060e-05,-1.348047739020199097e-06,-1.276080985312850245e-06,-1.032486059324301599e-06
1.694553171714705400e+02,6.246031543798152124e-06,3.030504214938632979e-01,6.592888534591671013e-01,8.154648278432510278e-01,1.579409541031142456e-05,-1.372000950266586265e-06,-1.299121216396199098e-06,-1.051140113412198539e-06
1.694614433359389238e+02,6.343542095840880352e-06,3.030504130143052421e-01,6.592888454289009825e-01,8.154648213457947881e-01,1.604066706112645466e-05,-1.396379222726058747e-06,-1.322577797322012364e-06,-1.070131493194613156e-06
1.694675695004073361e+02,6.442574933280368295e-06,3.030504043840824280e-01,6.592888372536434005e-01,8.154648147309467854e-01,1.629108806465751576e-05,-1.421190078827206713e-06,-1.346458249469642714e-06,-1.089466297129655057e-06
1.694736956648757200e+02,6.543153845838365743e-06,3.030503956005183297e-01,6.592888289307708982e-01,8.154648079965818308e-01,1.654541857676826953e-05,-1.446441191739178607e-06,-1.370770248558049802e-06,-1.109150748876284134e-06
1.694798218293441323e+02,6.645302955716121841e-06,3.030503866608937336e-01,6.592888204576177191e-01,8.154648011405397634e-01,1.680371959403076368e-05,-1.472140356113852577e-06,-1.395521594705498404e-06,-1.129191173040546390e-06
1.694859479938125162e+02,6.749046776060843593e-06,3.030503775624397433e-01,6.592888118314682577e-01,8.154647941606204542e-01,1.706605310156334720e-05,-1.498295509697219319e-06,-1.420720234644933991e-06,-1.149594013145662097e-06
1.694920741582809285e+02,6.854410218278607323e-06,3.030503683023362815e-01,6.592888030495557272e-01,8.154647870545819188e-01,1.733248209152112517e-05,-1.524914736340309981e-06,-1.446374264852157559e-06,-1.170365834307431660e-06
1.694982003227493124e+02,6.961418541234251392e-06,3.030503588777184176e-01,6.592887941090683768e-01,8.154647798201460906e-01,1.760307043464245350e-05,-1.552006247579101421e-06,-1.472491912768721971e-06,-1.191513307869318846e-06
1.695043264872177247e+02,7.070097450510094399e-06,3.030503492856641001e-01,6.592887850071370570e-01,8.154647724549882737e-01,1.787788313123330874e-05,-1.579578419475411266e-06,-1.499081574588650463e-06,-1.213043242160680055e-06
1.695104526516861085e+02,7.180473010943021515e-06,3.030503395232046482e-01,6.592887757408461002e-01,8.154647649567458023e-01,1.815698609000821549e-05,-1.607639760675327395e-06,-1.526151782638221429e-06,-1.234962555968883976e-06
1.695165788161545208e+02,7.292571709799311149e-06,3.030503295873169245e-01,6.592887663072248827e-01,8.154647573230117130e-01,1.844044628783307084e-05,-1.636198935993647311e-06,-1.553711229603102935e-06,-1.257278298227397072e-06
1.695227049806229047e+02,7.406420464676433364e-06,3.030503194749220031e-01,6.592887567032473806e-01,8.154647495513339672e-01,1.872833178970447637e-05,-1.665264769708903644e-06,-1.581768772031499727e-06,-1.279997650802861210e-06
1.695288311450913170e+02,7.522046568611925068e-06,3.030503091828922746e-01,6.592887469258381650e-01,8.154647416392204473e-01,1.902071160995206326e-05,-1.694846225457191463e-06,-1.610333409697633937e-06,-1.303127911836059201e-06
1.695349573095597293e+02,7.639477797335509019e-06,3.030502987080374577e-01,6.592887369718589685e-01,8.154647335841281874e-01,1.931765598343377301e-05,-1.724952446424760848e-06,-1.639414327043021346e-06,-1.326676529329516384e-06
1.695410834740281132e+02,7.758742314762666673e-06,3.030502880471164784e-01,6.592887268381206756e-01,8.154647253834730325e-01,1.961923612656737834e-05,-1.755592720506896312e-06,-1.669020857416256539e-06,-1.350651072125753488e-06
1.695472096384965255e+02,7.879868741256983592e-06,3.030502771968287545e-01,6.592887165213743295e-01,8.154647170346219776e-01,1.992552440993681419e-05,-1.786776506030321550e-06,-1.699162509554306433e-06,-1.375059251456089617e-06
1.695533358029649094e+02,8.002886162168182260e-06,3.030502661538129194e-01,6.592887060183096892e-01,8.154647085348928348e-01,2.023659437987993041e-05,-1.818513435361315631e-06,-1.729848971495466438e-06,-1.399908924025912334e-06
1.695594619674333217e+02,8.127824068520705865e-06,3.030502549146544822e-01,6.592886953255631122e-01,8.154646998815596737e-01,2.055252060851428829e-05,-1.850813292956729291e-06,-1.761090087978512260e-06,-1.425208073700847435e-06
1.695655881319017055e+02,8.254712472902741733e-06,3.030502434758702845e-01,6.592886844397020107e-01,8.154646910718406083e-01,2.087337898677017034e-05,-1.883686059224733299e-06,-1.792895905744626335e-06,-1.450964848324294532e-06
1.695717142963701178e+02,8.383581807349162489e-06,3.030502318339220458e-01,6.592886733572381752e-01,8.154646821029090109e-01,2.119924646617891203e-05,-1.917141872502340606e-06,-1.825276634407779517e-06,-1.477187527968635522e-06
