r,m,c,b,f,T,V
170.8898855,0.555896137169,0.141963229132,0.38059923936,0.595842844518,0.318314246311,0.312205163451
170.8918984,0.557286311992,0.141530255063,0.37969456373,0.595062746953,0.318639897048,0.312544093329
170.8939113,0.558675927573,0.141097378163,0.378789197525,0.59428122828,0.318957864817,0.312875389928
170.8959242,0.560064962416,0.140664605354,0.377883153824,0.593498293679,0.319268132173,0.313199034987
170.8979371,0.561453395044,0.140231943553,0.376976445741,0.59271394837,0.319570680841,0.313515010972
170.89995,0.562841204006,0.139799399674,0.376069086421,0.591928197612,0.319865493361,0.313823301082
170.9019628,0.564228367878,0.139366980625,0.375161089042,0.591141046703,0.320152553087,0.314123889244
170.9039757,0.56561486526,0.138934693308,0.374252466813,0.59035250098,0.320431844188,0.314416760122
170.9059886,0.567000674781,0.138502544623,0.373343232974,0.589562565821,0.320703354083,0.314701899111
170.9080015,0.568385775101,0.13807054146,0.372433400796,0.58877124664,0.320967070766,0.314979292347
170.9100144,0.56977014491,0.137638690705,0.371522983576,0.58797854889,0.321222980503,0.315248926701
170.9120272,0.57115376293,0.137206999236,0.370611994642,0.587184478066,0.321471070383,0.315510789783
170.9140401,0.572536607915,0.136775473925,0.36970044735,0.586389039696,0.32171132832,0.315764869943
170.916053,0.573918658657,0.136344121633,0.368788355082,0.58559223935,0.321943743052,0.316011156272
170.9180659,0.575299893982,0.135912949218,0.367875731245,0.584794082636,0.322168305302,0.316249638603
170.9200788,0.576680292753,0.135481963524,0.366962589272,0.583994575197,0.322385008101,0.316480307509
170.9220917,0.578059833872,0.13505117139,0.366048942622,0.583193722718,0.322593842429,0.316703154306
170.9241045,0.579438496282,0.134620579644,0.365134804776,0.582391530917,0.322794799963,0.316918171054
170.9261174,0.580816258966,0.134190195103,0.364220189238,0.581588005554,0.322987873205,0.317125350555
170.9281303,0.582193100949,0.133760024576,0.363305109535,0.580783152423,0.323173055486,0.317324686351
170.9301432,0.583569001302,0.13333007486,0.362389579215,0.579976977357,0.323350341389,0.317516172729
170.9321561,0.584943939139,0.13290035274,0.361473611847,0.579169486225,0.323519728281,0.317699804719
170.934169,0.586317893621,0.132470864992,0.360557221019,0.578360684932,0.32368121204,0.31787557809
170.9361818,0.587690843956,0.132041618377,0.359640420339,0.577550579422,0.323834788932,0.318043489354
170.9381947,0.589062769402,0.131612619646,0.358723223432,0.576739175673,0.323980456048,0.318203535761
170.9402076,0.590433649265,0.131183875536,0.357805643941,0.575926479702,0.324118211306,0.318355715303
170.9422205,0.591803462905,0.130755392771,0.356887695526,0.57511249756,0.324248053531,0.318500026708
170.9442334,0.593172189732,0.130327178062,0.355969391863,0.574297235334,0.32436998398,0.318636469443
170.9462463,0.594539809212,0.129899238105,0.355050746641,0.573480699147,0.324484003434,0.318765043709
170.9482591,0.595906300863,0.129471579581,0.354131773566,0.57266289516,0.32459011272,0.318885750444
170.950272,0.597271644263,0.129044209158,0.353212486357,0.571843829565,0.324688313488,0.318998591316
170.9522849,0.598635819044,0.128617133489,0.352292898743,0.571023508592,0.324778608201,0.319103568724
170.9542978,0.599998804899,0.128190359207,0.351373024467,0.570201938507,0.324861000141,0.319200685799
170.9563107,0.601360581579,0.127763892935,0.350452877284,0.569379125608,0.324935494263,0.319289946396
170.9583235,0.602721128897,0.127337741275,0.349532470956,0.56855507623,0.325002096078,0.319371355096
170.9603364,0.60408042673,0.126911910815,0.348611819257,0.567729796741,0.325060810923,0.319444917204
170.9623493,0.605438455014,0.126486408123,0.347690935969,0.566903293544,0.325111644936,0.319510638742
170.9643622,0.606795193753,0.126061239751,0.346769834882,0.566075573076,0.325154605062,0.319568526454
170.9663751,0.608150623016,0.125636412234,0.345848529791,0.565246641809,0.325189699043,0.319618587796
170.968388,0.609504722938,0.125211932086,0.344927034501,0.564416506246,0.325216935693,0.319660830936
170.9704008,0.610857473724,0.124787805804,0.344005362818,0.563585172926,0.325236324819,0.319695264754
170.9724137,0.612208855646,0.124364039865,0.343083528556,0.56275264842,0.325247876207,0.319721898832
170.9744266,0.613558849047,0.123940640727,0.342161545531,0.561918939332,0.325251600393,0.319740743458
170.9764395,0.614907434341,0.123517614828,0.341239427562,0.561084052301,0.325247508701,0.31975180962
170.9784524,0.616254592017,0.123094968584,0.340317188471,0.560247993996,0.325235613234,0.319755108999
170.9804653,0.617600302635,0.122672708393,0.339394842081,0.55941077112,0.325215926897,0.319750653973
170.9824781,0.61894454683,0.122250840629,0.338472402216,0.558572390408,0.325188463366,0.319738457604
170.984491,0.620287305314,0.121829371648,0.337549882697,0.557732858626,0.325153236732,0.319718533642
170.9865039,0.621628558875,0.12140830778,0.336627297349,0.556892182574,0.32511026181,0.319690896519
170.9885168,0.62296828838,0.120987655336,0.335704659989,0.556050369083,0.325059554173,0.319655561342
170.9905297,0.624306474775,0.120567420603,0.334781984438,0.555207425013,0.325001130151,0.31961254389
170.9925426,0.625643099084,0.120147609846,0.333859284507,0.554363357258,0.324935006808,0.319561860613
170.9945554,0.626978142416,0.119728229305,0.332936574007,0.553518172742,0.324861201516,0.319503528625
170.9965683,0.628311585958,0.119309285198,0.332013866743,0.552671878421,0.324779732365,0.319437565698
170.9985812,0.629643410985,0.118890783719,0.331091176514,0.55182448128,0.324690618294,0.319363990259
171.0005941,0.630973598851,0.118472731036,0.330168517112,0.550975988334,0.324593878976,0.319282821387
171.002607,0.632302131,0.118055133294,0.329245902321,0.550126406629,0.324489534808,0.319194078804
171.0046198,0.633628988959,0.117637996612,0.328323345918,0.549275743242,0.32437760691,0.319097782876
171.0066327,0.634954154345,0.117221327085,0.32740086167,0.548424005278,0.32425811643,0.3189939546
171.0086456,0.636277608861,0.116805130779,0.326478463336,0.547571199871,0.32413108499,0.318882615606
171.0106585,0.6375993343,0.116389413738,0.325556164661,0.546717334187,0.32399653548,0.318763788149
171.0126714,0.638919312546,0.115974181977,0.324633979383,0.545862415418,0.323854491492,0.318637495102
171.0146843,0.640237525573,0.115559441485,0.323711921224,0.545006450786,0.323704977309,0.318503759953
171.0166971,0.641553955449,0.115145198224,0.322790003894,0.544149447541,0.323548017901,0.318362606799
171.01871,0.642868584332,0.114731458128,0.321868241091,0.543291412963,0.323383638334,0.318214060339
171.0207229,0.644181394477,0.114318227105,0.320946646497,0.542432354358,0.323211863329,0.318058145869
171.0227358,0.645492368232,0.113905511033,0.320025233779,0.54157227906,0.323032719468,0.317894889278
171.0247487,0.646801488042,0.113493315762,0.319104016588,0.540711194432,0.322846234061,0.317724317039
171.0267616,0.648108736447,0.113081647115,0.318183008558,0.539849107864,0.322652435071,0.317546456203
171.0287744,0.649414096086,0.112670510885,0.317262223305,0.538986026772,0.322451351111,0.317361334398
171.0307873,0.650717549697,0.112259912835,0.316341674428,0.538121958599,0.32224301109,0.317168979816
171.0328002,0.652019080115,0.1118498587,0.315421375507,0.537256910815,0.322027442698,0.316969421211
171.0348131,0.653318670277,0.111440354183,0.314501340099,0.536390890918,0.321804675787,0.316762687892
171.036826,0.65461630322,0.111031404959,0.313581581745,0.535523906429,0.32157474116,0.316548809715
171.0388389,0.655911962083,0.110623016672,0.312662113961,0.534655964897,0.321337670237,0.316327817078
171.0408517,0.657205630109,0.110215194934,0.311742950243,0.533787073896,0.321093495045,0.316099740914
171.0428646,0.658497290641,0.109807945328,0.310824104064,0.532917241025,0.320842248105,0.315864612686
171.0448775,0.65978692713,0.109401273405,0.309905588871,0.53204647391,0.320583960196,0.315622464377
171.0468904,0.661074523129,0.108995184683,0.30898741809,0.5311747802,0.320318663868,0.315373328486
171.0489033,0.662360062299,0.108589684651,0.30806960512,0.530302167568,0.320046393182,0.315117238018
171.0509161,0.663643528405,0.108184778763,0.307152163335,0.529428643713,0.319767182772,0.314854226483
171.052929,0.664924905322,0.107780472443,0.306235106082,0.528554216359,0.319481067835,0.314584327882
171.0549419,0.666204177031,0.10737677108,0.305318446681,0.527678893251,0.319188084123,0.314307576705
171.0569548,0.667481327622,0.106973680033,0.304402198424,0.526802682159,0.318888265854,0.314024007923
171.0589677,0.668756341294,0.106571204626,0.303486374576,0.525925590878,0.318581647581,0.313733656978
171.0609806,0.670029202357,0.10616935015,0.302570988369,0.525047627223,0.318268266367,0.31343655978
171.0629934,0.671299895232,0.105768121862,0.301656053008,0.524168799035,0.317948159805,0.313132752697
171.0650063,0.67256840445,0.105367524985,0.300741581666,0.523289114174,0.317621366003,0.312822272548
171.0670192,0.673834714655,0.10496756471,0.299827587486,0.522408580526,0.317287923578,0.312505156597
171.0690321,0.675098810603,0.104568246192,0.298914083576,0.521527205997,0.316947870308,0.312181442546
171.071045,0.676360677165,0.10416957455,0.298001083014,0.520644998515,0.316601242376,0.311851168523
171.0730579,0.677620299324,0.103771554871,0.297088598843,0.51976196603,0.316248079438,0.311514373082
171.0750707,0.678877662178,0.103374192206,0.296176644073,0.518878116513,0.315888421775,0.31117109519
171.0770836,0.680132750941,0.102977491569,0.295265231677,0.517993457955,0.315522310138,0.31082137422
171.0790965,0.681385550942,0.102581457942,0.294354374594,0.517107998371,0.315149785738,0.310465249946
171.0811094,0.682636047627,0.102186096269,0.293444085728,0.516221745792,0.314770889572,0.310102762534
171.0831223,0.683884226559,0.101791411458,0.292534377943,0.515334708273,0.314385659636,0.309733952534
171.0851352,0.685130073417,0.101397408382,0.291625264068,0.514446893886,0.31399413754,0.309358860873
171.087148,0.686373573999,0.101004091877,0.290716756894,0.513558310726,0.313596365978,0.308977528848
171.0891609,0.687614714222,0.100611466743,0.289808869171,0.512668966904,0.313192388065,0.308589998115
171.0911738,0.688853480121,0.100219537743,0.288901613611,0.511778870552,0.312782247328,0.308196310687
171.0931867,0.69008985785,0.0998283096043,0.287995002886,0.51088802982,0.31236598751,0.307796508921
171.0951996,0.691323833686,0.0994377870149,0.287089049627,0.509996452878,0.311943648822,0.307390635513
171.0972124,0.692555394022,0.0990479746276,0.286183766425,0.509104147913,0.311515274082,0.306978733491
171.0992253,0.693784525375,0.0986588770571,0.285279165825,0.508211123131,0.311080908115,0.306560846203
171.1012382,0.695011214384,0.0982704988806,0.284375260335,0.507317386754,0.310640596117,0.306137017316
171.1032511,0.696235447806,0.0978828446377,0.283472062416,0.506422947024,0.310194383644,0.305707290802
171.105264,0.697457212524,0.0974959188301,0.282569584486,0.505527812198,0.309742316605,0.305271710932
171.1072769,0.698676495542,0.0971097259213,0.28166783892,0.504631990551,0.309284438015,0.304830322272
171.1092897,0.699893283987,0.0967242703368,0.280766838046,0.503735490376,0.308820791067,0.30438316967
171.1113026,0.701107565109,0.0963395564637,0.279866594147,0.502838319979,0.308351422431,0.30393029825
171.1133155,0.702319326284,0.0959555886507,0.278967119462,0.501940487684,0.307876379096,0.303471753407
171.1153284,0.703528555009,0.0955723712078,0.278068426181,0.501042001833,0.307395708364,0.303007580794
171.1173413,0.704735238908,0.0951899084062,0.277170526447,0.50014287078,0.306909457836,0.30253782632
171.1193542,0.705939365728,0.0948082044782,0.276273432355,0.499243102897,0.306417673454,0.302062536137
171.121367,0.707140923342,0.0944272636172,0.275377155954,0.498342706568,0.305920398518,0.301581756636
171.1233799,0.708339899749,0.0940470899774,0.274481709241,0.497441690194,0.305417681042,0.301095534437
171.1253928,0.709536283072,0.0936676876736,0.273587104166,0.496540062191,0.304909569526,0.300603916384
171.1274057,0.710730061562,0.0932890607813,0.272693352626,0.495637830988,0.304396112727,0.300106949535
171.1294186,0.711921223595,0.0929112133366,0.271800466471,0.494735005027,0.303877359653,0.299604681153
171.1314315,0.713109757675,0.0925341493357,0.270908457496,0.493831592765,0.303353358636,0.299097158702
171.1334443,0.71429565243,0.0921578727354,0.270017337449,0.492927602673,0.302824153562,0.298584429837
171.1354572,0.715478896617,0.0917823874524,0.269127118023,0.492023043232,0.302289793025,0.298066542398
171.1374701,0.716659479122,0.0914076973636,0.268237810857,0.491117922939,0.301750326747,0.297543544399
171.139483,0.717837388954,0.091033806306,0.267349427541,0.490212250303,0.301205804662,0.297015484027
171.1414959,0.719012615254,0.0906607180762,0.266461979608,0.489306033843,0.300656276903,0.296482409625
171.1435087,0.720185147287,0.0902884364308,0.265575478538,0.488399282091,0.300101793552,0.295944369695
171.1455216,0.72135497445,0.0899169650862,0.264689935757,0.487492003593,0.299542399742,0.295401412881
171.1475345,0.722522086266,0.0895463077181,0.263805362635,0.486584206902,0.29897814381,0.294853587968
171.1495474,0.723686472385,0.0891764679622,0.262921770488,0.485675900586,0.298409076424,0.294300943873
171.1515603,0.724848122587,0.0888074494134,0.262039170572,0.484767093221,0.297835248414,0.293743529635
171.1535732,0.726007026782,0.0884392556262,0.261157574093,0.483857793395,0.29725671076,0.293181394413
171.155586,0.727163175006,0.0880718901143,0.260276992193,0.482948009707,0.296673514586,0.292614587472
171.1575989,0.728316557426,0.0877053563509,0.259397435963,0.482037750763,0.296085707072,0.292043158181
171.1596118,0.729467164336,0.0873396577683,0.258518916432,0.48112702518,0.295493335416,0.291467156004
171.1616247,0.73061498616,0.0869747977581,0.257641444572,0.480215841587,0.294896450958,0.290886630493
171.1636376,0.731760013451,0.086610779671,0.256765031297,0.479304208618,0.294295105153,0.290301631279
171.1656505,0.73290223689,0.0862476068169,0.255889687461,0.478392134918,0.29368934956,0.28971220807
171.1676633,0.73404164729,0.0858852824647,0.255015423859,0.477479629139,0.293079235834,0.289118410637
171.1696762,0.735178235589,0.0855238098424,0.254142251226,0.476566699944,0.292464813337,0.288520288812
171.1716891,0.736311992858,0.0851631921369,0.253270180237,0.475653356002,0.291846127997,0.287917892481
171.173702,0.737442910295,0.0848034324942,0.252399221506,0.474739605988,0.291223231301,0.287311271573
171.1757149,0.738570979227,0.0844445340193,0.251529385586,0.473825458588,0.290596175068,0.28670047606
171.1777278,0.739696191111,0.0840864997761,0.250660682967,0.472910922492,0.289965011177,0.286085555941
171.1797406,0.740818537534,0.0837293327872,0.249793124081,0.471996006398,0.289329791554,0.285466561245
171.1817535,0.741938010209,0.0833730360344,0.248926719294,0.471080719011,0.28869056708,0.284843542017
171.1837664,0.743054600982,0.0830176124584,0.248061478912,0.470165069041,0.288047383158,0.284216548316
171.1857793,0.744168301824,0.0826630649586,0.247197413176,0.469249065205,0.287400290609,0.283585630205
171.1877922,0.745279104839,0.0823093963934,0.246334532265,0.468332716225,0.286749341366,0.282950837747
171.189805,0.746387002256,0.0819566095801,0.245472846295,0.467416030829,0.286094587376,0.282312220998
171.1918179,0.747491986435,0.081604707295,0.244612365316,0.466499017748,0.285436080596,0.281669829999
171.1938308,0.748594049864,0.0812536922731,0.243753099316,0.465581685721,0.284773872699,0.281023714773
171.1958437,0.749693185159,0.0809035672086,0.242895058217,0.464664043488,0.284108009435,0.280373925314
171.1978566,0.750789385065,0.0805543347544,0.242038251876,0.463746099797,0.283438540115,0.279720511587
171.1998695,0.751882642455,0.0802059975224,0.241182690087,0.462827863396,0.282765516548,0.279063523515
171.2018823,0.75297295033,0.0798585580837,0.240328382575,0.46190934304,0.282088990515,0.278403010979
171.2038952,0.75406030182,0.0795120189681,0.239475339001,0.460990547484,0.281409013767,0.277739023808
171.2059081,0.75514469018,0.0791663826648,0.238623568961,0.46007148549,0.280725638011,0.277071611775
171.207921,0.756226108796,0.0788216516218,0.237773081983,0.459152165819,0.280038910306,0.27640082459
171.2099339,0.757304551178,0.0784778282463,0.23692388753,0.458232597236,0.279348877595,0.275726711895
171.2119468,0.758380010967,0.0781349149047,0.236075994995,0.457312788509,0.278655591339,0.27504932326
171.2139596,0.759452481927,0.0777929139226,0.235229413707,0.456392748408,0.277959102932,0.274368708171
171.2159725,0.76052195795,0.0774518275848,0.234384152927,0.455472485701,0.2772594637,0.273684916034
171.2179854,0.761588433058,0.0771116581356,0.233540221847,0.454552009163,0.276556724888,0.272997996161
171.2199983,0.762651901393,0.0767724077783,0.232697629592,0.453631327566,0.275850935022,0.272307997769
171.2220112,0.763712357229,0.0764340786759,0.231856385218,0.452710449683,0.275142138696,0.271614969974
171.2240241,0.764769794961,0.0760966729508,0.231016497714,0.45178938429,0.27443038652,0.270918961784
171.2260369,0.765824209113,0.075760192685,0.230177976,0.450868140161,0.273715729296,0.270220022096
171.2280498,0.766875594333,0.07542463992,0.229340828927,0.44994672607,0.272998217721,0.26951819969
171.2300627,0.767923945393,0.0750900166571,0.228505065276,0.449025150791,0.272277902377,0.268813543223
171.2320756,0.76896925719,0.0747563248572,0.22767069376,0.448103423098,0.271554832539,0.268106101227
171.2340885,0.770011524747,0.0744235664412,0.226837723022,0.447181551764,0.270829051404,0.267395922098
171.2361013,0.771050743208,0.0740917432898,0.226006161636,0.446259545559,0.270100607938,0.2666830541
