x,m,c,b,f,V,T
1.236,0.134750591266,0.268009580461,0.608656086295,0.776137003103,0.0404519556186,0.0404519556192
1.248,0.131147699313,0.269021448397,0.610213811524,0.777326743436,0.0384303720908,0.038430372092
1.26,0.127629155675,0.270007532694,0.611726443622,0.778482743854,0.0364968059868,0.0364968059862
1.272,0.124193651517,0.270968288304,0.613195021337,0.779605781149,0.0346484974723,0.0346484974734
1.284,0.120839860106,0.271904173796,0.614620575895,0.780696623998,0.0328826822197,0.0328826822203
1.296,0.117566439532,0.272815650514,0.61600412992,0.781756032472,0.0311966009923,0.0311966009928
1.308,0.114372035312,0.273703181787,0.617346696431,0.78278475759,0.0295875083737,0.0295875083747
1.32,0.111255282863,0.274567232167,0.61864927793,0.783783540905,0.0280526806772,0.0280526806768
1.332,0.108214809855,0.275408266722,0.619912865558,0.784753114133,0.0265894230651,0.0265894230659
1.344,0.105249238448,0.276226750356,0.621138438325,0.785694198806,0.0251950759202,0.0251950759206
1.356,0.1023571874,0.277023147183,0.622326962419,0.78660750597,0.0238670204996,0.0238670205
1.368,0.0995372740721,0.277797919926,0.623479390578,0.787493735906,0.0226026839152,0.0226026839159
1.38,0.0967881163038,0.278551529364,0.624596661525,0.788353577887,0.0213995434769,0.0213995434766
1.392,0.0941083341893,0.279284433813,0.625679699472,0.789187709965,0.0202551304363,0.0202551304369
1.404,0.0914965517395,0.27999708864,0.626729413675,0.789996798783,0.0191670331755,0.0191670331757
1.416,0.0889513984374,0.280689945814,0.627746698055,0.790781499416,0.0181328998691,0.0181328998694
1.428,0.0864715106937,0.281363453489,0.628732430861,0.791542455242,0.0171504406682,0.0171504406687
1.44,0.0840555332018,0.282018055624,0.629687474393,0.792280297828,0.016217429435,0.0162174294348
1.452,0.0817021201943,0.282654191625,0.63061267477,0.792995646851,0.0153317050654,0.0153317050659
1.464,0.0794099366135,0.283272296026,0.631508861734,0.79368911003,0.0144911724387,0.0144911724388
1.476,0.0771776591837,0.283872798192,0.632376848513,0.794361283089,0.0136938030171,0.0136938030172
1.488,0.0750039774058,0.284456122053,0.633217431706,0.795012749732,0.0129376351378,0.0129376351382
1.5,0.0728875944665,0.285022685861,0.634031391218,0.795644081643,0.0122207740203,0.0122207740201
1.512,0.0708272280648,0.285572901978,0.63481949022,0.796255838499,0.0115413915168,0.0115413915171
1.524,0.068821611174,0.286107176679,0.635582475146,0.796848568,0.0108977256414,0.0108977256415
1.536,0.0668694927182,0.286625909981,0.636321075723,0.797422805916,0.0102880798886,0.0102880798887
1.548,0.0649696381913,0.2871294955,0.637036005015,0.79797907615,0.00971082238004,0.00971082238029
1.56,0.0631208302071,0.287618320317,0.637727959511,0.798517890808,0.00916438485098,0.00916438485089
1.572,0.0613218689828,0.288092764869,0.638397619222,0.79903975029,0.00864726149982,0.00864726150003
1.584,0.0595715727753,0.28855320286,0.639045647803,0.799545143383,0.00815800772504,0.00815800772511
1.596,0.0578687782486,0.289000001182,0.6396726927,0.800034547375,0.0076952387566,0.00769523875667
1.608,0.0562123407983,0.289433519863,0.640279385308,0.800508428167,0.00725762820902,0.00725762820918
1.62,0.0546011348244,0.289854112014,0.640866341148,0.800967240406,0.00684390656432,0.00684390656427
1.632,0.0530340539515,0.290262123807,0.641434160062,0.801411427618,0.00645285959875,0.00645285959889
1.644,0.0515100112177,0.290657894455,0.641983426413,0.801841422348,0.00608332677162,0.00608332677167
1.656,0.050027939207,0.291041756207,0.642514709302,0.802257646313,0.00573419957789,0.00573419957793
1.668,0.0485867901553,0.291414034355,0.643028562802,0.802660510554,0.00540441988426,0.00540441988437
1.68,0.0471855360156,0.291775047251,0.643525526183,0.803050415599,0.00509297825214,0.0050929782521
1.692,0.0458231684848,0.292125106337,0.644006124166,0.803427751627,0.00479891225601,0.0047989122561
1.704,0.044498699012,0.292464516176,0.644470867167,0.803792898635,0.00452130480953,0.00452130480956
1.716,0.0432111587609,0.292793574499,0.644920251559,0.804146226615,0.00425928249766,0.00425928249769
1.728,0.0419595985585,0.293112572259,0.645354759931,0.804488095726,0.00401201392865,0.00401201392872
1.74,0.0407430888134,0.293421793686,0.645774861354,0.804818856471,0.00377870810604,0.00377870810602
1.752,0.0395607194064,0.293721516354,0.646181011653,0.805138849886,0.00355861282518,0.00355861282524
1.764,0.0384115995725,0.294012011252,0.646573653672,0.805448407707,0.0033510131023,0.00335101310232
1.776,0.0372948577468,0.294293542863,0.646953217555,0.805747852568,0.00315522963241,0.00315522963243
1.788,0.0362096414057,0.294566369239,0.647320121015,0.806037498174,0.0029706172855,0.00297061728555
1.8,0.0351551168864,0.294830742093,0.647674769611,0.806317649492,0.00279656363909,0.00279656363907
1.812,0.0341304691873,0.295086906884,0.648017557022,0.806588602932,0.0026324875493,0.00263248754934
1.824,0.0331349017666,0.29533510291,0.64834886532,0.806850646531,0.00247783776508,0.0024778377651
1.836,0.0321676363137,0.295575563405,0.648669065243,0.807104060139,0.00233209158125,0.00233209158127
1.848,0.031227912522,0.295808515636,0.648978516468,0.8073491156,0.00219475353646,0.00219475353649
1.86,0.0303149878464,0.296034181003,0.649277567877,0.807586076934,0.00206535415327,0.00206535415326
1.872,0.0294281372491,0.296252775141,0.649566557828,0.807815200521,0.00194344872094,0.00194344872097
1.884,0.0285666529483,0.296464508024,0.649845814414,0.808036735275,0.00182861612332,0.00182861612333
1.896,0.0277298441463,0.296669584068,0.65011565573,0.808250922827,0.00172045770753,0.00172045770754
1.908,0.0269170367632,0.296868202241,0.650376390128,0.808457997697,0.00161859619734,0.00161859619736
1.92,0.0261275731611,0.297060556164,0.650628316469,0.808658187472,0.00152267464798,0.00152267464797
1.932,0.0253608118611,0.297246834225,0.650871724382,0.808851712973,0.00143235544218,0.0014323554422
1.944,0.0246161272667,0.297427219676,0.651106894501,0.809038788429,0.00134731932857,0.00134731932858
1.956,0.023892909372,0.297601890752,0.651334098716,0.809219621643,0.00126726449833,0.00126726449833
1.968,0.0231905634779,0.297771020769,0.651553600411,0.809394414156,0.00119190570243,0.00119190570244
1.98,0.0225085099036,0.297934778235,0.651765654695,0.809563361411,0.00112097340659,0.00112097340658
1.992,0.0218461836929,0.298093326956,0.651970508635,0.809726652913,0.00105421298296,0.00105421298297
2.004,0.021203034331,0.298246826141,0.652168401485,0.809884472383,0.000991383939091,0.000991383939095
2.016,0.0205785254484,0.298395430509,0.6523595649,0.810036997917,0.000932259180531,0.000932259180534
2.028,0.0199721345359,0.29853929039,0.652544223163,0.810184402136,0.0008766243084,0.000876624308408
2.04,0.0193833526561,0.29867855183,0.652722593387,0.810326852332,0.000824276949359,0.000824276949355
2.052,0.0188116841541,0.298813356694,0.652894885734,0.81046451062,0.000775026116884,0.000775026116891
2.064,0.018256646378,0.298943842765,0.653061303609,0.810597534075,0.000728691603947,0.000728691603949
2.076,0.0177177693914,0.299070143844,0.653222043862,0.810726074876,0.000685103403949,0.000685103403953
2.088,0.0171945956958,0.299192389851,0.653377296984,0.810850280443,0.000644101160783,0.000644101160788
2.1,0.0166866799534,0.299310706919,0.653527247296,0.810970293569,0.000605533645661,0.000605533645659
2.112,0.0161935887096,0.29942521749,0.653672073131,0.811086252556,0.000569258259778,0.000569258259782
2.124,0.0157149001259,0.299536040411,0.653811947018,0.811198291339,0.000535140562597,0.000535140562598
2.136,0.0152502037077,0.299643291024,0.653947035856,0.811306539614,0.000503053823202,0.000503053823203
2.148,0.0147991000413,0.29974708126,0.654077501086,0.811411122962,0.000472878595203,0.000472878595206
2.16,0.0143612005335,0.299847519725,0.654203498858,0.811512162965,0.000444502313252,0.000444502313251
2.172,0.0139361271516,0.29994471179,0.654325180195,0.811609777329,0.000417818910295,0.000417818910298
2.184,0.0135235121734,0.300038759677,0.654442691149,0.811704079992,0.000392728455282,0.000392728455284
2.196,0.0131229979343,0.300129762543,0.654556172958,0.811795181242,0.000369136809307,0.000369136809307
2.208,0.0127342365838,0.300217816564,0.654665762194,0.811883187819,0.000346955300366,0.000346955300368
2.22,0.012356889844,0.300303015012,0.654771590911,0.811968203027,0.00032610041526,0.00032610041526
2.232,0.0119906287705,0.30038544834,0.654873786785,0.812050326834,0.000306493507803,0.000306493507804
2.244,0.0116351335226,0.300465204258,0.654972473253,0.812129655973,0.000288060523104,0.000288060523104
2.256,0.0112900931316,0.300542367805,0.655067769648,0.812206284043,0.000270731736291,0.000270731736291
2.268,0.0109552052777,0.300617021431,0.655159791328,0.812280301599,0.00025444150577,0.000254441505771
2.28,0.0106301760708,0.300689245063,0.655248649802,0.81235179625,0.000239128039815,0.000239128039814
2.292,0.0103147198317,0.300759116179,0.655334452856,0.812420852748,0.00022473317585,0.000224733175851
2.304,0.010008558885,0.300826709878,0.655417304671,0.812487553077,0.000211202172157,0.000211202172158
2.316,0.00971142334785,0.300892098946,0.655497305937,0.812551976534,0.000198483510759,0.000198483510759
2.328,0.00942305092935,0.300955353924,0.655574553968,0.812614199818,0.0001865287115,0.0001865287115
2.34,0.00914318673198,0.301016543171,0.655649142809,0.81267429711,0.000175292156382,0.000175292156382
2.352,0.00887158305549,0.301075732929,0.655721163347,0.812732340149,0.000164730923661,0.000164730923661
2.364,0.00860799920971,0.301132987382,0.655790703405,0.81278839831,0.00015480463143,0.000154804631431
2.376,0.00835220132585,0.301188368719,0.655857847852,0.81284253868,0.000145475289785,0.000145475289785
2.388,0.00810396217644,0.301241937189,0.65592267869,0.812894826126,0.000136707161503,0.000136707161503
2.4,0.00786306099765,0.301293751162,0.655985275154,0.812945323371,0.000128466630563,0.000128466630563
2.412,0.00762928331429,0.301343867179,0.656045713802,0.812994091058,0.000120722078069,0.000120722078068
2.424,0.00740242077277,0.301392340012,0.656104068601,0.813041187815,0.000113443765384,0.000113443765385
2.436,0.00718227097307,0.301439222713,0.656160411012,0.813086670325,0.000106603723783,0.000106603723784
2.448,0.00696863730857,0.301484566666,0.656214810075,0.813130593382,0.000100175650531,0.000100175650531
2.46,0.00676132880822,0.301528421637,0.65626733249,0.813173009956,9.41348108981e-05,9.41348108987e-05
2.472,0.00656015998123,0.301570835822,0.656318042689,0.81321397125,8.84579457727e-05,8.84579457732e-05
2.484,0.00636495066905,0.301611855896,0.656367002918,0.813253526754,8.31231846976e-05,8.31231846975e-05
2.496,0.00617552589663,0.301651527057,0.656414273304,0.813291724307,7.8109963813e-05,7.8109963813e-05
2.508,0.00599171573074,0.301689893071,0.65645991193,0.813328610144,7.33989486525e-05,7.33989486531e-05
2.52,0.00581335514055,0.301726996317,0.656503974899,0.813364228952,6.89719613796e-05,6.89719613792e-05
2.532,0.00564028386058,0.301762877826,0.656546516404,0.813398623919,6.48119122221e-05,6.48119122222e-05
2.544,0.00547234626015,0.301797577326,0.65658758879,0.813431836781,6.09027349945e-05,6.09027349945e-05
2.556,0.00530939121239,0.301831133279,0.656627242614,0.813463907873,5.72293262715e-05,5.72293262711e-05
2.568,0.00515127196951,0.301863582922,0.656665526709,0.813494876172,5.37774882001e-05,5.37774882004e-05
2.58,0.00499784604018,0.301894962302,0.65670248824,0.813524779344,5.0533874636e-05,5.05338746351e-05
2.592,0.00484897506915,0.301925306314,0.656738172758,0.813553653782,4.74859404035e-05,4.74859404032e-05
2.604,0.00470452472259,0.301954648738,0.656772624257,0.813581534656,4.46218936154e-05,4.46218936151e-05
2.616,0.00456436457316,0.301983022271,0.656805885226,0.813608455943,4.19306507062e-05,4.19306507068e-05
