x,m,c,b,f,V,T
-10.116,1,9.83846654133e-16,1.63934392979e-17,4.95799317022e-10,0,5.3377253623e-19
-10.104,1,1.02189892421e-15,1.71778349107e-17,5.08354050618e-10,0,5.61104590018e-19
-10.092,1,1.06142291253e-15,1.79997466437e-17,5.21226213503e-10,0,5.89837290903e-19
-10.08,1,1.10247553234e-15,1.88609676777e-17,5.34423842605e-10,0,6.2004241401e-19
-10.068,1,1.14511589549e-15,1.97633767677e-17,5.47955177859e-10,0,6.51795412008e-19
-10.056,1,1.18940542129e-15,2.07089432756e-17,5.61828669472e-10,0,6.85175608689e-19
-10.044,1,1.23540790406e-15,2.16997306542e-17,5.76052981253e-10,0,7.20266392821e-19
-10.032,1,1.28318959642e-15,2.27379005915e-17,5.90636995271e-10,0,7.57155424528e-19
-10.02,1,1.33281930241e-15,2.38257176081e-17,6.0558981727e-10,0,7.95934853687e-19
-10.008,1,1.38436848408e-15,2.49655542783e-17,6.20920783041e-10,0,8.3670155166e-19
-9.996,1,1.43791139303e-15,2.61598975857e-17,6.36639466646e-10,0,8.79557359826e-19
-9.984,1,1.49352515209e-15,2.74113533206e-17,6.52755684191e-10,0,9.24609338458e-19
-9.972,1,1.551289856e-15,2.87226513127e-17,6.69279499105e-10,0,9.71970031694e-19
-9.96,1,1.61128868401e-15,3.00966512352e-17,6.86221228277e-10,0,1.02175774793e-18
-9.948,1,1.67360802872e-15,3.1536349197e-17,7.03591449268e-10,0,1.07409685732e-18
-9.936,1,1.7383376551e-15,3.30448857657e-17,7.21401009641e-10,0,1.12911811089e-18
-9.924,1,1.80557079925e-15,3.46255515203e-17,7.39661031226e-10,0,1.18695896002e-18
-9.912,1,1.87540429009e-15,3.62817936566e-17,7.58382916104e-10,0,1.24776389667e-18
-9.9,1,1.94793868556e-15,3.80172233145e-17,7.77578353562e-10,0,1.31168481334e-18
-9.888,1,2.02327842825e-15,3.98356239013e-17,7.97259328264e-10,0,1.37888138507e-18
-9.876,1,2.10153203776e-15,4.17409612198e-17,8.17438130818e-10,0,1.44952147904e-18
-9.864,1,2.18281223005e-15,4.37373904784e-17,8.38127362614e-10,0,1.52378156487e-18
-9.852,1,2.26723606455e-15,4.58292646298e-17,8.59339942604e-10,0,1.60184715134e-18
-9.84,1,2.35492510878e-15,4.80211436216e-17,8.81089115174e-10,0,1.68391324855e-18
-9.828,1,2.44600562662e-15,5.03178049027e-17,9.03388459414e-10,0,1.77018485836e-18
-9.816,1,2.54060881071e-15,5.27242562112e-17,9.26251901081e-10,0,1.86087750029e-18
-9.804,1,2.63887092682e-15,5.52457444219e-17,9.49693718087e-10,0,1.95621773825e-18
-9.792,1,2.74093349169e-15,5.78877660741e-17,9.73728548176e-10,0,2.05644374123e-18
-9.78,1,2.84694347203e-15,6.06560790489e-17,9.9837139785e-10,0,2.16180587673e-18
-9.768,1,2.95705351212e-15,6.35567158326e-17,1.02363765286e-09,0,2.27256734029e-18
-9.756,1,3.07142221477e-15,6.65959996596e-17,1.04954309178e-09,0,2.38900483081e-18
-9.744,1,3.19021431588e-15,6.97805556816e-17,1.07610389221e-09,0,2.5114092267e-18
-9.732,1,3.3136008994e-15,7.31173242564e-17,1.10333663947e-09,0,2.64008630582e-18
-9.72,1,3.44175963792e-15,7.66135756888e-17,1.13125833673e-09,0,2.77535750725e-18
-9.708,1,3.57487506781e-15,8.02769269742e-17,1.1598864169e-09,0,2.91756073969e-18
-9.696,1,3.71313892891e-15,8.41153621757e-17,1.18923875797e-09,0,3.0670512483e-18
-9.684,1,3.85675037556e-15,8.81372465234e-17,1.21933369008e-09,0,3.22420248293e-18
-9.672,1,4.00591623642e-15,9.23513431883e-17,1.25019000539e-09,0,3.38940702234e-18
-9.66,1,4.1608513054e-15,9.67668318901e-17,1.28182696948e-09,0,3.5630775523e-18
-9.648,1,4.32177867422e-15,1.01393330032e-16,1.31426433488e-09,0,3.74564790334e-18
-9.636,1,4.48893014314e-15,1.06240918424e-16,1.34752235846e-09,0,3.93757416382e-18
-9.624,1,4.66254647599e-15,1.11320159077e-16,1.3816218094e-09,0,4.13933579448e-18
